,Date,Study,Study Link,Journal,Study Type,Sample Size,Age ,Sample Obtained,Asymptomatic,Characteristic Related to Question 2,Excerpt,Added On,Study Population,Sample Text,Matches,Entry
,2020-04-23,Rapidly Bootstrapping a Question Answering Dataset for COVID-19,https://doi.org/,ArXiv,Other,85.0,,,,,,,"To compute relevance, we let ρ(q, s i ) := max j,k max{a i j , }.","Overall, the dataset took approximately 23 hours to produce, representing a final tally (for the version 0.1 release) of 124 question-answer pairs, 27 questions (topics), and 85 unique articles.","4 One such example is ""Asymptomatic shedding"" and ""Proportion of patients who were asymptomatic"", respectively.",2020-05-01
,2020-04-23,The risk of SARS-CoV-2 transmission in the healthcare setting and potential impact of cohorting strategies,https://doi.org/10.1101/2020.04.20.20073080,medrxiv,Other,,,,,,,, We have neglected HCWs transmission from interactions with those involved in the COVID-19 cohort or other non-COVID-19 cohorts.,• a force of infection from their patients.," Infections from other asymptomatic or presymptomatic patients with rate A,P + 1,P N P where N P = S P + E P + I 1,P + I A,P + R A,P is the number of patients in the cohort.",2020-05-01
,2020-04-23,"A model-based evaluation of the efficacy of COVID-19 social distancing, testing and hospital triage policies",https://doi.org/10.1101/2020.04.20.20073213,medrxiv,Modeling,40.0,,,,,,,Model inputs related to the specific characteristics of SARS-CoV-2 and COVID-19 were derived from published literature where available (Table 1) .,"In an e cient testing scenario, 20 to 40 symptomatic individuals (2 4% of the community) are tested per day and there is at most a one day delay between test administration and results, while under ine cient testing only one or two individuals are tested per day and results take 6 to 7 days.","The proportion of asymptomatic COVID-19 infections is currently unknown; we therefore sampled the overall proportion of asymptomatic infections from a uniform distribution, 1 p E!I = p E!A ⇠ U (0.05, 0.5), and further sampled the ratio of asymptomatic infections in low-risk versus high-risk individuals from another uniform distribution, p low-risk

Interestingly, the average contact reduction of symptomatic cases influenced the proportion of infections caused by asymptomatic cases more than the rate of actual asymptomatic cases.",2020-05-01
,2020-04-22,How best to use limited tests? Improving COVID-19 surveillance in long-term care,https://doi.org/10.1101/2020.04.19.20071639,medrxiv,Modeling,154.0,,,,,,,"Here, we investigated the efficacy and timeliness of a range of COVID-19 surveillance strategies using simulations from a dynamic COVID-19 transmission model among patients and HCWs in the LTCF setting.","16 There were on average 154 patients and 239 members of staff present in the hospital per day, the latter partitioned across 13 distinct categories (e.g.","The copyright holder for this preprint this version posted April 22, 2020 10, 29 Duration of presymptomatic period 1-3 days (uniform) 10, 29 Duration of symptomatic period (whether asymptomatic, mild symptomatic or severe symptomatic) 7 days (log-normal, σ² = 7) 30 Proportion of COVID-19 infections presenting any symptoms 0.7 18, 19 Proportion of symptomatic .",2020-05-01
,2020-04-20,Efficient high throughput SARS-CoV-2 testing to detect asymptomatic carriers,https://doi.org/10.1101/2020.04.14.20064618,medrxiv,Other,384.0,,,,,,,  University Medical Center using a clinically approved COVID-19 PCR-based diagnostic protocol that included an RNA extraction stage.,"Five sets of 384 samples, containing 1-5 positive carriers were screened and all positive carriers in each set were correctly identified.","Using a model, they estimated that the estimated asymptomatic proportion (among all infected cases) was 17.9% (95%CrI: 15.5-20.2%).",2020-04-24
,2020-04-18,Mathematical assessment of the impact of non-pharmaceutical interventions on curtailing the 2019 novel Coronavirus,https://doi.org/10.1101/2020.04.15.20066480,medrxiv,Modeling,83.0,,,,,,,We estimated the baseline epidemiological parameters of the model from available COVID-19 data and sources from the published literature.,"South Korea reported 83 newly-confirmed cases on April 3, 2020 .",We set the proportion of quarantined exposed individuals who are hospitalized (r) to be r = 0.7.,2020-04-24
,2020-04-16,"Practitioners specialized in oral health and coronavirus disease 2019: Professional guidelines from the French society of stomatology, maxillofacial surgery and oral surgery, to form a common front against the infectious risk",https://doi.org/10.1016/j.jormas.2020.03.011,J Stomatol Oral Maxillofac Surg,Other,2.0,,,,,,,"Based on our experience and on the recently reported guidelines from the French National Agency for Public Health (ARS, March 5, 2020), the French Society of Hospital Hygiene (SFHH, March 4, 2020) and the Department of Infectious Risk Prevention of the Hospitals of Paris-Public Assistance (APHP, March 6, 2020), we provide several recommendations for practitioners specialized in oral health, to protect themselves from nosocomial infections, especially Covid-19.","Hand washing (soap and/or SHA) is indicated systematically between the examination of two patients, after removing gloves, after going to the bathroom, after blowing one's nose or sneezing, after opening or closing a door, before the meals and after leaving public transport (bicycles, bus, subways, metro, taxis, planes, boats).",The majority of Covid-19 infections are mild clinical symptomatic or even asymptomatic.,2020-05-12
,2020-04-16,Clinical characteristics and diagnostic challenges of pediatric COVID-19: A systematic review and meta-analysis,https://doi.org/10.1016/j.jfma.2020.04.007,Journal of the Formosan Medical Association,Systematic review,190.0,,,,,,,The study period ranged from January 2020 to February 2020.,A total of 190 articles were identified in the initial search.,There are 26% children are asymptomatic.,2020-04-24
,2020-04-15,Mathematical assessment of the impact of non-pharmaceutical interventions on curtailing the 2019 novel Coronavirus,https://doi.org/,ArXiv,Modeling,83.0,,,,,,,We estimated the baseline epidemiological parameters of the model from available COVID-19 data and sources from the published literature.,"South Korea reported 83 newly-confirmed cases on April 3, 2020 .",We set the proportion of quarantined exposed individuals who are hospitalized (r) to be r = 0.7.,2020-05-01
,2020-04-14,Public Health Policy: COVID-19 Epidemic and SEIR Model with Asymptomatic Viral Carriers,https://doi.org/,ArXiv,Modeling,2.0,,,,,,,"Because we want to check the inhibitory effects to the spread of COVID-19 for different efficiencies of public health policy, all rate e L , e F , and e Q would run between 0% to 95% In our simulation, we cite the data from John Hopkins Coronavirus Resource Center (JHU CSSE) as source.","As early as January 31, Italy declared a national emergency after two confirmed cases in Rome.",The proportion of asymptomatic patients with respect to contagious population is,2020-05-01
,2020-04-13,High Risk of COVID-19 Infection for Head and Neck Surgeons,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7153920/,Int Arch Otorhinolaryngol,Other,3.0,,,,,,,"2 On February 26, 2020, the Brazilian Ministry of Health confirmed the first case in Brazil.","3 In less than 4 weeks, more than 1,100 cases and 18 deaths were registered in the country.","4 More than 80% of the patients with COVID-19 are asymptomatic or oligosymptomatic.

 More than 80% of the patients with COVID-19 are asymptomatic or oligosymptomatic.",2020-04-24
,2020-04-11,There are asymptomatic and pre-symptomatic patients infected with COVID-19. So what? Pandemic response implications,https://doi.org/10.1101/2020.04.08.20054023,medrxiv,Systematic review,9.0,,,,,,,"Methods A systematic review is followed by a narrative report and commentary inclusion criteria were: studies reporting primary data on asymptomatic or pre-symptomatic patients, who were considered to have passed on COVID-19 infection; and published in indexed journals or in peer review between January 1 and March 31, 2020.",A total of nine articles were identified as empirical evidence of the presence of asymptomatic or pre-symptomatic patients with COVID-19 infection.,There are asymptomatic and pre-symptomatic patients infected with COVID-19.,2020-04-17
,2020-04-07,Analysis and Applications of Non-Adaptive and Adaptive Group Testing Methods for COVID-19,https://doi.org/10.1101/2020.04.05.20050245,medrxiv,Other,4.0,,,,,,,8 Analysis of group testing methods methods 1,"6 Condence bounds on group testing methods We will apply DT and GBS with groups capped at 4, 8, 16, 32 and 64 samples using two dierent levels of condence.","The sub-population not showing any symptoms will have a lower proportion of asymptomatic carriers when the proportion of people not showing any symptoms in our group is less than the estimated proportion of COVID-19 carriers who are asymptomatic.

  Clinical screening will decrease the prevalence of COVID-19 carriers in the test population if the probability of being asymptomatic given COVID-19 (+) is less than the proportion of the population that is asymptomatic (regardless of COVID-19 (+) or (-)).",2020-04-24
,2020-04-07,Face mask use in the general population and optimal resource allocation during the COVID-19 pandemic,https://doi.org/10.1101/2020.04.04.20052696,medrxiv,Modeling,1000000.0,,,,,,,"Estimates for the proportion of asymptomatic cases vary considerably; including 18% based on data from the Diamond Princess cruise ship (with a high proportion of elderly people) , 25% according to the director of the US CDC , 30% based on Japanese evacuees from Wuhan , and even up to 78% based on limited reporting from China .","The ongoing novel coronavirus disease (COVID-19) pandemic has rapidly spread in early 2020, causing tens of thousands of deaths, over a million cases and widespread socioeconomic disruption.","While there is currently limited evidence on the progression of infection in different age groups, we assumed that the proportion of asymptomatic cases in the elderly (70+) was half the proportion in the younger population, and that the death rate among symptomatic elderly cases was 9.7%, versus 1.3% in younger cases .",2020-04-10
,2020-04-07,Explaining the Bomb-Like Dynamics of COVID-19 with Modeling and the Implications for Policy,https://doi.org/10.1101/2020.04.05.20054338,medrxiv,Modeling,400.0,,,,,,,"For Italy this was from January 22, 2020 to March 20, 2020, for Spain this was from January 22, 2020 to March 30, 2020, and for South Korea this was from January 22, 2020 to March 5, 2020.","Using Monte Carlo (MC) methods, we were able to generate 400 parameter samples from a prior distribution with acceptance-rejection sampling.",The proportion of the population with no/mild/moderate symptoms was estimated to be as high as 85% of the population .,2020-04-10
,2020-04-03,"The challenges and considerations of community-based preparedness at the onset of COVID-19 outbreak in Iran, 2020",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7167485/,PMC,Other,20.0,,,,,,,the index case) in Iran was observed in the city of Qom on 19 February 2020.,"Thus, given the fact that 20 patients are suffering from severe, critical COVID-19 symptoms, it can be estimated that there are at least 80 patients in Delijan with mild-to-moderate symptoms who have gone undetected and hence able to easily transfer COVID-19 to others.",The proportion of asymptomatic patients may be high.,2020-04-24
,2020-04-03,Clinical characteristics of non-critically ill patients with novel coronavirus infection (COVID-19) in a Fangcang Hospital,https://doi.org/10.1016/j.cmi.2020.03.032,Clinical Microbiology and Infection,Retrospective observational,1012.0,,,,,,,"Patients from 7 to 12 February 2020, at Dongxihu Fangcang Hospital in Wuhan, were enrolled in the retrospective study.",A total of 1012 individuals with non-critically ill COVID-19 were included in the retrospective analysis.,Asymptomatic infections only accounted for a small proportion of COVID-19.,2020-05-12
,2020-03-31,The SARS-CoV-2 epidemic outbreak: a review of plausible scenarios of containment and mitigation for Mexico,https://doi.org/10.1101/2020.03.28.20046276,medrxiv,Modeling,1103.0,,,,,,,"The data consists of daily cumulative cases from February 28, 2020 to March 26, 2020 .","For example, at March 31, 2020, the model expects 1,103 cases, with a 95% probability interval of (401, 2353); and at April 7, 2020, a total of 4,202 cases are expected with a 95% probability interval of (1,440, 11,012).","with k = a or s for asymptomatic and symptomatic individuals, respectively.

where k = a or s for asymptomatic or symptomatic individuals, respectively.

where, we remind the reader correspond to the contact rates of asymptomatic and symptomatic infecteds, the incubation and infectious period and the proportion of asymptomatic cases respectively.",2020-04-03
,2020-03-31,Strong correlations between power-law growth of COVID-19 in four continents and the inefficiency of soft quarantine strategies,https://doi.org/,ArXiv,Modeling,10.0,,,,,,,Data were collected from the situation reports published daily by the World Health Organization (WHO) .,"Very high asymptotic values of infected individuals are reached, 3.4 × 10 7 cases for Brazil and 5.9 × 10 7 cases for USA."," α = 1.0: ratio between infectiousness of asymptomatic and symptomatic individuals.

We assume that the numbers of asymptomatic and symptomatic individuals are equal.",2020-05-01
,2020-03-31,Quantifying SARS-CoV-2 transmission suggests epidemic control with digital contact tracing,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7164555/,Science,Modeling,117.0,,,,,,,"Mainland China outside of Hubei province received significantly more introductions from Wuhan than did anywhere else, following mass movements of people around Chinese New Year and the start of the Wuhan lockdown .","As of March 5, 2020, there were 117 cases, of which 25 were imported.","Among 634 individuals testing positive on board the Diamond Princess cruise ship, the proportion of individuals without symptoms was found to be 52%; the proportion who were asymptomatic (rather than pre-symptomatic) was estimated as 18% .

 Asymptomatic individuals are assumed to have an infectiousness proportional to that of symptomatic individuals: β a (τ ) = (τ ).",2020-04-24
,2020-03-27,Modeling COVID-19 epidemics in an Excel spreadsheet: Democratizing the access to first-hand accurate predictions of epidemic outbreaks,https://doi.org/10.1101/2020.03.23.20041590,medrxiv,Modeling,32.0,,,,,,,"378 379 Concluding remarks 380 We used a set of differential equations, recent epidemiological data regarding the evolution 381 of COVID-19 infection in a reduced set of regions (i.e., Spain, Iran, and NYC), and basic 382 information on the characteristics of COVID-19 infection (i.e., time from infection to 383 recovery, case mortality rate) to accurately recreate the onset of the COVID-19 in two 384 urban areas with different demographic characteristics (i.e., NYC and Monterrey, México).","doi: medRxiv preprint China indicate that the percentage of patients with severe symptoms may be 14%, with a 376 5% of critical cases 32 .",The number of asymptomatic inhabitants was calculated under the assumption that only 168 ~30.0% of the infected population develops symptomatology (2.5 asymptomatic subjects 169 per 1.0 symptomatic subject).,2020-04-03
,2020-03-23,"Clinical characteristics and reasons of different duration from onset to release from quarantine for patients with COVID-19 Outside Hubei province, China.",https://doi.org/10.1101/2020.03.21.20038778,medrxiv,Other,37.0,,,,,,,"Results: Among the 37 patients, 5 were mild, 30 were moderate, 1 was severe and 1 was critical.","Results: Among the 37 patients, 5 were mild, 30 were moderate, 1 was severe and 1 was critical.","Among these patients, the proportion of asymptomatic patients accounted for 18.9% of the total patients.",2020-03-27
,2020-03-23,"Healthcare worker absenteeism, child care costs, and COVID-19 school closures: a simulation analysis",https://doi.org/10.1101/2020.03.19.20039404,medrxiv,Modeling,28.0,,,,,,,"To find county-level demographic and occupational data, we use 5-year estimates from the American Community Survey (ACS) 14 and the Integrated Public Use Microdata Series (IPUMS) 15 , a database derived from ACS.","We assume that 86% of infections are mild or asymptomatic, with asymptomatic individuals as 50% less infectious than symptomatic individuals 28 .","i is the age group, p a = 0.83 is the proportion of infected that are asymptomatic.

We assume that 86% of infections are mild or asymptomatic, with asymptomatic individuals as 50% less infectious than symptomatic individuals 28 .",2020-04-24
,2020-03-23,Interventions to mitigate early spread of SARS-CoV-2 in Singapore: a modelling study,https://doi.org/10.1016/s1473-3099(20)30162-6,The Lancet Infectious Diseases,Modeling,3.0,,,,,,,"We searched PubMed from database inception to Feb 26, 2020, for articles using the search terms ""Wuhan coronavirus"", ""COVID-19"", ""SARS-CoV-2"", ""2019-nCoV"", and ""coronavirus interventions"".",Our search yielded three relevant articles.,"For quarantine, by comparison with the number of cases observed for the 7·5% asymptomatic proportion assumption when R 0 was 1·5, the median number of cases increased by 172 000 (IQR 113 000-221 000) for a 30·0% asymptomatic proportion.",2020-04-03
,2020-03-14,Modeling the dynamics of novel coronavirus (2019-nCov) with fractional derivative,https://doi.org/10.1016/j.aej.2020.02.033,Alexandria Engineering Journal,Modeling,,,,,,,,"We consider the available infection cases for January 21, 2020, till January 28, 2020 and parameterized the model.","Obviously, m 1 > 0 and whenever R 0 < 1, so that Àm 2 =m 1 6 0.",The parameter h p is the proportion of asymptomatic infection.,2020-05-12
,2020-03-13,The time scale of asymptomatic transmission affects estimates of epidemic potential in the COVID-19 outbreak,https://doi.org/10.1101/2020.03.09.20033514,medrxiv,Other,,,,,,,,We infer values of q using .,"We note that I a and I s represent prevalence (i.e., the total number of currently infectious individuals) of asymptomatic and symptomatic individuals;","where p is the proportion of incident cases that are asymptomatic: i a (t) = pi(t).

We note that I a and I s represent prevalence (i.e., the total number of currently infectious individuals) of asymptomatic and symptomatic individuals;",2020-04-24
,2020-03-12,"Estimating the asymptomatic proportion of coronavirus disease 2019 (COVID-19) cases on board the Diamond Princess cruise ship, Yokohama, Japan, 2020",https://doi.org/10.2807/1560-7917.es.2020.25.10.2000180,Euro Surveill,Modeling,634.0,,,,,,,"Daily time series of laboratory test results for SARS-CoV-2 (both positive and negative), including information on presence or absence of symptoms from 5 February 2020 to 20 February 2020 were extracted from secondary sources .","Of 634 cases, a total of 313 cases were female and six were aged 0-19 years, 152 were aged 20-59 years and 476 were 60 years and older ( Figure) .","The asymptomatic proportion was defined as the proportion of asymptomatically infected individuals among the total number of infected individuals.

The posterior median estimate of the true proportion of asymptomatic individuals among the reported asymptomatic cases is 0.35 (95% credible interval (CrI): 0.30–0.39), with the estimated total number of the true asymptomatic cases at 113.3 (95%CrI: 98.2–128.3) and the estimated asymptomatic proportion (among all infected cases) at 17.9% (95%CrI: 15.5–20.2%).

cases) and number of symptomatic and asymptomatic cases at the time of sample collection are provided, while the time of infection and true asymptomatic proportion are not available.

The asymptomatic proportion, p, is the probability an individual will never develop symptoms.

Estimates of the true proportion of asymptomatic individuals among the reported asymptomatic cases are somewhat sensitive to changes in the mean incubation period, ranging from 0.28 (95%CrI: 0.23–0.33) to 0.40 (95%CrI: 0.36–0.44), while the estimated total number of true asymptomatic cases range from 91.9 (95%CrI: 75.2–108.7) to 130.8 (95%CrI: 117.1–144.5) and the estimated asymptomatic proportion ranges from 20.6% (95%CrI: 18.5–22.8%) to 39.9% (95%CrI: 35.7–44.1%).

Estimates of the true proportion of asymptomatic individuals among the reported asymptomatic cases are somewhat sensitive to changes in the mean incubation period, ranging from 0.28 (95%CrI: 0.23-0.33) to 0.40 (95%CrI: 0.36-0.44), while the estimated total number of true asymptomatic cases range from 91.9 (95%CrI: 75.2-108.7) to 130.8 (95%CrI: 117.1-144.5) and the estimated asymptomatic proportion ranges from 20.6% (95%CrI: 18.5-22.8%) to 39.9% (95%CrI: 35.7-44.1%).",2020-05-12
,2020-03-08,A mathematical model for estimating the age-specific transmissibility of a novel coronavirus,https://doi.org/10.1101/2020.03.05.20031849,medrxiv,Modeling,425.0,,,,,,,"Data of reported COVID-19 cases were collected from one published literature from 26 November to 22 December, 2019 in Wuhan City, China.","A study with 425 patients indicated that the median age was 59 72 years (range, 15 to 89) and reported different case distributions in four age groups: 0 -14, 15 -44, 45 73 -64, and  65 years .","1101 /2020 Since there was no data on the proportion of asymptomatic infection of the virus, we simulated the 148 baseline value of proportion of 0.5 (p = 0.5).",2020-03-27
,2020-03-06,"Adjusted age-specific case fatality ratio during the COVID-19 epidemic in Hubei, China, January and February 2020",https://doi.org/10.1101/2020.03.04.20031104,medrxiv,Case series,82300.0,,,,,,,Deaths counts were obtained from a repository aggregating data from Chinese public data sources .,"The model estimates that a total of 82,300 individuals (95%CrI: 73,000-91,800) were infected in Hubei between 1 January and 11 February 2020.","Third, the proportion of asymptomatic infections is uncertain.",2020-04-03
,2020-03-06,Modeling the Control of COVID-19: Impact of Policy Interventions and Meteorological Factors,https://doi.org/,ArXiv,Modeling,2.0,,,,,,,"Data preparation On January 23, 2020, China CDC and each provincial CDC started to publish the epidemic data in their official websites, we collect these data up to February 19 for parameter estimation.","Due to the different circumstance inside and outside Hubei Province, the estimation and prediction are investigated for the two cases.","Once infected, the proportion of becoming symptomatic is ρ and asymptomatic is 1 − ρ.

Diagnostic rate of asymptomatic and symptomatic infectious are A and I .",2020-05-01
,2020-02-28,A mathematical model for simulating the phase-based transmissibility of a novel coronavirus,https://doi.org/10.1186/s40249-020-00640-3,Infect Dis Poverty,Modeling,45.0,,,,,,,"The reported cases of SARS-CoV-2, which have been named as COVID-19, were collected for the modelling study from a published literature .","Thus, ω P = ω' P = 0.1923. b) There is a mean 5-day delay from symptom onset to detection/hospitalization of a case (the cases detected in Thailand and Japan were hospitalized from 3 to 7 days after onset, respectively) The duration from illness onset to first medical visit for the 45 patients with illness onset before January 1 was estimated to have a mean of 5.8 days (95% CI: 4.3-7.5) .","The proportion of asymptomatic infection was defined as δP.

The proportion of asymptomatic infection was defined as δ P .",2020-03-27
,2020-01-19,A mathematical model for simulating the transmission of Wuhan novel Coronavirus,https://doi.org/10.1101/2020.01.19.911669,biorxiv,Modeling,,,,,,,,"AbstractAs reported by the World Health Organization, a novel coronavirus (2019-nCoV) was identified as the causative virus of Wuhan pneumonia of unknown etiology by Chinese authorities on 7 January, 2020.",The parameters of the BHRP model were shown in Table 1 .,The proportion of asymptomatic infection was defined as δ P .,2020-03-27
