,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on,Study Population,Sample Text,Matches,Entry
6,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRxiv,Systemic review,UV light,Y,"Projections suggest that, in the absence of intervention, COVID-19 will decrease temporarily during summer, rebound by autumn, and peak next winter.",-,05/03/2020,,,,
7,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRxiv,Systemic review,Temperature,N,-,-,05/03/2020,,,,
8,2020-04-22,Seasonality and uncertainty in COVID-19 growth rates,https://doi.org/10.1101/2020.04.19.20071951,medRxiv,Systemic review,Humidity,N,-,-,05/03/2020,,,,
9,2020-04-18,Meteorological factors and domestic new cases of coronavirus disease (COVID-19) in nine Asian cities: A time-series analysis,https://doi.org/10.1101/2020.04.15.20066613,medRxiv,Time-series analysis,None,-,The associations between meteorological factors and the number of COVID-19 daily cases are inconsistent across cities and lagged time.,cities: 9,05/03/2020,,,,
10,2020-04-09,Climatic influences on the worldwide spread of SARS-CoV-2,https://doi.org/10.1101/2020.03.19.20038158,medRxiv,Simulation,Climate,Y,asynchronous seasonal global outbreaks are expected,countries: globally,04/06/2020,,,,
11,2020-04-07,Susceptible supply limits the role of climate in the COVID-19 pandemic,https://doi.org/10.1101/2020.04.03.20052787,medRxiv,Simulation,Specific Humidity,N,summer temperatures will not substantially limit pandemic growth.,countries: USA,04/06/2020,,,,
12,2020-04-07,Susceptible supply limits the role of climate in the COVID-19 pandemic,https://doi.org/10.1101/2020.04.03.20052787,medRxiv,Simulation,Climate,N,summer temperatures will not substantially limit pandemic growth.,countries: USA,04/06/2020,,,,
13,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRxiv,Eco-epidemiological Study,Temperature,Y,"brighter, warmer and drier conditions were associated with lower incidence",cases: 18069,04/06/2020,,,,
14,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRxiv,Eco-epidemiological Study,Solar Radiation,Y,"brighter, warmer and drier conditions were associated with lower incidence",cases: 18070,04/06/2020,,,,
15,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRxiv,Eco-epidemiological Study,Population Density,N,-,cases: 18071,04/06/2020,,,,
16,2020-03-31,"Eco-epidemiological assessment of the COVID-19 epidemic in China, January-February 2020",https://doi.org/10.1101/2020.03.29.20046565,medRxiv,Eco-epidemiological Study,Precipitation,N,-,cases: 18072,04/06/2020,,,,
17,2020-03-30,Climate effect on COVID-19 spread rate: an online surveillance tool ,https://doi.org/10.1101/2020.03.26.20044727,medRxiv,Retrospective Study,Temperature,Y,negative correlation between warmer climate and COVID-19 spread,countries: 20,04/06/2020,,,,
18,2020-03-30,Climate effect on COVID-19 spread rate: an online surveillance tool ,https://doi.org/10.1101/2020.03.26.20044727,medRxiv,Retrospective Study,Humidity,N,-,countries: 20,04/06/2020,,,,
19,2020-03-30,Climate effect on COVID-19 spread rate: an online surveillance tool ,https://doi.org/10.1101/2020.03.26.20044727,medRxiv,Retrospective Study,Rainfall,N,-,countries: 20,04/06/2020,,,,
20,2020-03-30,Climate effect on COVID-19 spread rate: an online surveillance tool ,https://doi.org/10.1101/2020.03.26.20044727,medRxiv,Retrospective Study,Windspeed,N,-,countries: 20,04/06/2020,,,,
21,2020-03-30,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medRxiv,Simulation,Temperature,Y,"1C increase in local temperature reduces new COVID-19 cases per 1 million people by 13%, with a 95% confidence interval of [-21%, -4%]",cases: 166686,04/06/2020,,,,
22,2020-03-30,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medRxiv,Simulation,Precipation,N,-,cases: 166686,04/06/2020,,,,
23,2020-03-30,Causal empirical estimates suggest COVID-19 transmission rates are highly seasonal,https://doi.org/10.1101/2020.03.26.20044420,medRxiv,Simulation,Humidity,N,-,cases: 166686,04/06/2020,,,,
24,2020-03-30,Temperature dependence of COVID-19 transmission,https://doi.org/10.1101/2020.03.26.20044529,medRxiv,Retrospective Study,Average Temperature,Y,Decreased virus growth rate with increased temperature,countries: 130,04/06/2020,,,,
25,2020-03-27,Climate affects global patterns of COVID-19 early outbreak dynamics,https://doi.org/10.1101/2020.03.23.20040501,medRxiv,Ecological Regression ,Temperature,Y,Temperature and humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe.,countries: 121,04/06/2020,,,,
26,2020-03-27,Climate affects global patterns of COVID-19 early outbreak dynamics,https://doi.org/10.1101/2020.03.23.20040501,medRxiv,Ecological Regression ,Humidity,Y,Temperature and humidity strongly impact the variation of the growth rate of Covid-19 cases across the globe.,countries: 121,04/06/2020,,,,
27,2020-03-27,Modeling the Corona Virus Outbreak in IRAN,https://doi.org/10.1101/2020.03.24.20041095,medRxiv,Retrospective Study,Temperature,-,The available data is too small to identify seasonal patterns and make predictable variation in value,cases: 19661,04/06/2020,,,,
28,2020-03-24,Social distancing strategies for curbing the COVID-19 epidemic ,https://doi.org/10.1101/2020.03.22.20041079,medRxiv,Simulation,Seasonal Meteorological Factors,Y,summer months will have lower peaks than winter outbreaks,countries: USA,04/06/2020,,,,
29,2020-03-20,"Preliminary evidence that higher temperatures are associated with lower incidence of COVID-19, for cases reported globally up to 29th February 2020",https://doi.org/10.1101/2020.03.18.20036731,medRxiv,Retrospective study ,Temperature ,Y,Higher average temperature was strongly associated with lower COVID-19 incidence for temperatures of 1°C and higher,cases: 13479,04/06/2020,,,,
30,2020-03-16,Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate,https://doi.org/10.1101/2020.03.12.20034728,medRxiv,Simulation,Temperature,Y,"Mean temperature and evapotranspiration (a surrogate of humidity) are the predictors best explaining the distribution of outbreaks of the virus, with areas either too cold or too hot, or too wet, having lower exposure to outbreaks",models: 200,04/06/2020,,,,
31,2020-03-16,Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate,https://doi.org/10.1101/2020.03.12.20034728,medRxiv,Simulation,Evapotranspiration,Y,"Mean temperature and evapotranspiration (a surrogate of humidity) are the predictors best explaining the distribution of outbreaks of the virus, with areas either too cold or too hot, or too wet, having lower exposure to outbreaks",models: 200,04/06/2020,,,,
32,2020-03-16,Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate,https://doi.org/10.1101/2020.03.12.20034728,medRxiv,Simulation,Surface Shortwave Radiation,N,-,models: 200,04/06/2020,,,,
33,2020-03-16,Spread of SARS-CoV-2 Coronavirus likely to be constrained by climate,https://doi.org/10.1101/2020.03.12.20034728,medRxiv,Simulation,Precipitation Sum,N,-,models: 200,04/06/2020,,,,
34,2020-03-06,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period,https://doi.org/10.1101/2020.03.04.20031112,medRxiv,Simulation ,Temperature,Y,Determinant on if immunity to SARS-COV-2 is permanent,countries: USA,04/06/2020,,,,
35,2020-03-06,Projecting the transmission dynamics of SARS-CoV-2 through the post-pandemic period,https://doi.org/10.1101/2020.03.04.20031112,medRxiv,Simulation ,Absolute humidity,Y,Determinant on if immunity to SARS-COV-2 is permanent,countries: USA,04/06/2020,,,,
36,2020-02-26,Application of the ARIMA model on the COVID-2019 epidemic dataset,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7063124/,medRxiv,Simulation,Seasonality,N,-,-,04/06/2020,,,,
37,2020-02-17,Potential impact of seasonal forcing on a SARS-CoV-2 pandemic,https://doi.org/10.1101/2020.02.13.20022806,medRxiv,Simulation,Temperate Regions,Y,Seasonal variation might slow down the virus  but seasonality alone is unlikely to end the SARS-COV-2 spread,countries: Sweden,04/06/2020,,,,
38,2020-02-14,A spatial model of CoVID-19 transmission in England and Wales: early spread and peak timing ,https://doi.org/10.1101/2020.02.12.20022566,medRxiv,Simulation ,Seasonal Meteorological Factors,Y,Peak in Winter Months,countries: United Kingdom,04/06/2020,,,,
